1: x1='1.0', x2='-1.0', x3='1'
62: x1='2.041575663878019', x2='4.410362990680323', x3='7'
63: x1='-0.4504862830094867', x2='2.7905179547090597', x3='4'
64: x1='-2.859589383387701', x2='4.4001958469020614', x3='0'
65: x1='3.83237401069848', x2='1.1450712500313296', x3='3'
66: x1='3.8269402239102064', x2='-3.259507606142129', x3='0'
67: x1='-0.2749203002358813', x2='-4.7614992088540244', x3='4'
68: x1='-2.5303651016337825', x2='-3.1382410317067144', x3='4'
69: x1='-0.475830472939629', x2='-4.462816192304181', x3='10'
70: x1='3.8671276283279283', x2='-3.3032652126435824', x3='0'
71: x1='0.7454823031128841', x2='-2.5091297501649743', x3='6'
72: x1='-1.295378315789212', x2='0.6725507174532295', x3='9'
73: x1='-0.4134926814119311', x2='-3.1203107984293013', x3='1'
74: x1='4.595189433786121', x2='-4.948955381826137', x3='5'
75: x1='-0.6310218151571583', x2='4.933192383227192', x3='6'
76: x1='3.8873626145559204', x2='-3.1181579876431895', x3='10'
77: x1='-3.9937693802947494', x2='-4.78686363722415', x3='8'
78: x1='-2.8625517917367427', x2='3.5919200778450158', x3='1'
79: x1='-3.574606469121698', x2='3.84711878283448', x3='7'
80: x1='1.2436059336880048', x2='1.4887560894708542', x3='10'
81: x1='-1.467508782808462', x2='0.25324231726755375', x3='7'
82: x1='0.9482323946529707', x2='0.32430915256173254', x3='3'
83: x1='3.335898907238608', x2='1.506321992574465', x3='1'
84: x1='-3.652642848535894', x2='4.893132572788264', x3='3'
85: x1='2.248226898607614', x2='3.490299834121899', x3='10'
86: x1='-3.6617177856597047', x2='2.6461760969309553', x3='2'
87: x1='-0.5196766284373302', x2='4.7866216553908', x3='7'
88: x1='-2.0056416186773514', x2='4.913094422694488', x3='3'
89: x1='-3.529330762934415', x2='4.667538237198004', x3='4'
90: x1='-3.672764831375966', x2='4.749156451043628', x3='5'
91: x1='0.9322262656784464', x2='-3.8914515148458695', x3='6'
92: x1='4.0938916034270925', x2='-3.464708639062687', x3='8'
93: x1='-1.9772382595405356', x2='-3.2390961267642284', x3='5'
94: x1='-3.6787342195232133', x2='3.78850031747813', x3='6'
95: x1='-0.2784686498337887', x2='2.302059203922539', x3='3'
96: x1='-3.68475205071662', x2='4.461611144407421', x3='5'
97: x1='-2.0942057517150126', x2='-0.5486028777187713', x3='2'
98: x1='-3.690691862798794', x2='2.2849538529472033', x3='3'
99: x1='-1.1823469732640666', x2='1.7773799403267905', x3='5'
100: x1='-3.6947455168621812', x2='3.8844140753421', x3='7'
