1: x1='1.0', x2='-1.0', x3='1'
62: x1='2.041575663878019', x2='4.410362990680323', x3='7'
63: x1='-0.4504862830094867', x2='2.7905179547090597', x3='4'
64: x1='-2.859589383387701', x2='4.4001958469020614', x3='0'
65: x1='3.83237401069848', x2='1.1450712500313296', x3='3'
66: x1='3.8269402239102064', x2='-3.259507606142129', x3='0'
67: x1='-0.2749203002358813', x2='-4.7614992088540244', x3='4'
68: x1='-2.5303651016337825', x2='-3.1382410317067144', x3='4'
69: x1='-0.475830472939629', x2='-4.462816192304181', x3='10'
70: x1='3.8671276283279283', x2='-3.3032652126435824', x3='0'
71: x1='0.7454823031128841', x2='-2.5091297501649743', x3='6'
72: x1='-1.295378315789212', x2='0.6725507174532295', x3='9'
73: x1='-0.4134926814119311', x2='-3.1203107984293013', x3='1'
74: x1='4.595189433786121', x2='-4.948955381826137', x3='5'
75: x1='-0.6310218151571583', x2='4.933192383227192', x3='6'
76: x1='3.8873626145559204', x2='-3.1181579876431895', x3='10'
77: x1='-3.9937693802947494', x2='-4.78686363722415', x3='8'
78: x1='-2.8625517917367427', x2='3.5919200778450158', x3='1'
79: x1='-3.574606469121698', x2='3.84711878283448', x3='7'
80: x1='1.2436059336880048', x2='1.4887560894708542', x3='10'
81: x1='-1.467508782808462', x2='0.25324231726755375', x3='7'
82: x1='0.9482323946529707', x2='0.32430915256173254', x3='3'
83: x1='3.335898907238608', x2='1.506321992574465', x3='1'
84: x1='-3.652642848535894', x2='4.893132572788264', x3='3'
85: x1='2.248226898607614', x2='3.490299834121899', x3='10'
86: x1='-3.6617177856597047', x2='2.6461760969309553', x3='2'
87: x1='-0.5196766284373302', x2='4.7866216553908', x3='7'
88: x1='-2.0056416186773514', x2='4.913094422694488', x3='3'
89: x1='-3.529330762934415', x2='4.667538237198004', x3='4'
90: x1='-3.672764831375966', x2='4.749156451043628', x3='5'
91: x1='0.9322262656784464', x2='-3.8914515148458695', x3='6'
92: x1='4.0938916034270925', x2='-3.464708639062687', x3='8'
93: x1='-1.9772382595405356', x2='-3.2390961267642284', x3='5'
94: x1='-3.6787342195232133', x2='3.78850031747813', x3='6'
95: x1='-0.2784686498337887', x2='2.302059203922539', x3='3'
96: x1='-3.68475205071662', x2='4.461611144407421', x3='5'
97: x1='-2.0942057517150126', x2='-0.5486028777187713', x3='2'
98: x1='-3.690691862798794', x2='2.2849538529472033', x3='3'
99: x1='-1.1823469732640666', x2='1.7773799403267905', x3='5'
100: x1='-3.6947455168621812', x2='3.8844140753421', x3='7'
101: x1='-4.1637231088305', x2='1.287433432468866', x3='8'
102: x1='1.7563527120895248', x2='-3.0513392180613472', x3='3'
103: x1='-3.9490805011522756', x2='3.12479922297765', x3='6'
104: x1='3.855698087536263', x2='1.049699233609811', x3='4'
105: x1='-0.3320950618888947', x2='4.26677217085105', x3='3'
106: x1='-1.3286239301048153', x2='-0.23033760411488302', x3='10'
107: x1='3.194919845130082', x2='-2.183110129637301', x3='5'
108: x1='0.5276805727021667', x2='1.7051406740249782', x3='10'
109: x1='2.2903739671279517', x2='2.413786764204753', x3='5'
110: x1='-2.008177983813076', x2='2.85123987218398', x3='2'
111: x1='-2.7748643901588324', x2='-3.641721389668402', x3='0'
112: x1='-4.8266734693772015', x2='1.0830316630142018', x3='0'
113: x1='2.4362422188584807', x2='3.204716090114882', x3='0'
114: x1='-4.664267817393204', x2='4.615287692096167', x3='3'
115: x1='3.3510003794158525', x2='-4.24045297928928', x3='2'
116: x1='-3.5638723440351328', x2='-1.1020417456622211', x3='3'
117: x1='-2.3524403947775774', x2='0.9907539130887697', x3='5'
118: x1='-4.920139976897721', x2='-0.045446401701778605', x3='9'
119: x1='-2.5304367736054534', x2='3.261066557611409', x3='7'
120: x1='-3.6267829182040154', x2='-1.7953237499064856', x3='4'
121: x1='1.1557236122289263', x2='-1.143979039748583', x3='0'
122: x1='3.8398597936368244', x2='-1.1469700509379823', x3='2'
123: x1='4.249975380574645', x2='1.059596545960443', x3='1'
124: x1='2.9912534033189084', x2='-2.7933588410757837', x3='1'
125: x1='3.3769102990242743', x2='2.2026131822830077', x3='8'
126: x1='-3.322561269136787', x2='-0.9526284041215582', x3='8'
127: x1='-2.6111594015286874', x2='-1.1362662592539898', x3='1'
128: x1='-4.479701908351244', x2='1.275294304845361', x3='8'
129: x1='-4.791784381428693', x2='2.756258365352206', x3='8'
130: x1='0.40306304686009575', x2='-2.059311730480723', x3='2'
131: x1='2.5858770044306247', x2='-2.9300946079999823', x3='8'
132: x1='0.7181467246843525', x2='-4.756532519218279', x3='9'
133: x1='2.111681113355229', x2='-4.747990280163565', x3='4'
134: x1='-2.8328091535609268', x2='0.6825895595398057', x3='5'
135: x1='4.1866865487517835', x2='1.7076826882634766', x3='9'
136: x1='2.429133569279073', x2='-1.7503310043587925', x3='4'
137: x1='3.42274275226851', x2='4.185117951268895', x3='0'
138: x1='-2.89486990839116', x2='-0.8005532035381204', x3='0'
139: x1='4.647362098499173', x2='1.2159788832453557', x3='1'
140: x1='1.7483956933887708', x2='-3.2535456725218714', x3='4'
141: x1='2.231789121221361', x2='2.5005431391757966', x3='7'
142: x1='4.417574478135819', x2='-3.455451566318776', x3='2'
143: x1='4.54388268217498', x2='-1.0217991529186032', x3='9'
144: x1='-0.861669882411233', x2='-4.918380441185095', x3='9'
145: x1='2.1989871737116538', x2='2.3142078487612094', x3='5'
146: x1='-2.113654984824833', x2='3.7696308012830624', x3='10'
147: x1='-2.56161311072862', x2='2.378068203272936', x3='9'
148: x1='1.0926704722125784', x2='-3.0361557706194153', x3='5'
149: x1='2.1539742760276583', x2='3.497826112348383', x3='8'
150: x1='4.936884184373609', x2='0.28425225195410775', x3='3'
151: x1='2.4486150888907403', x2='-4.789853995464113', x3='0'
152: x1='4.164794458521451', x2='-4.494241745525425', x3='2'
153: x1='-2.563146476936813', x2='-4.189817342439646', x3='1'
154: x1='-0.8554884749034066', x2='3.1688668305379117', x3='1'
155: x1='4.568006320565498', x2='4.808704657716127', x3='0'
156: x1='-1.0807846957782488', x2='-1.536574431919889', x3='8'
157: x1='2.2533741978772053', x2='-4.977033269375486', x3='3'
158: x1='-3.7723252196076276', x2='1.1210977517108986', x3='7'
159: x1='2.26210721256117', x2='1.4049224547091317', x3='0'
160: x1='0.14405662675806763', x2='-0.6729950921263415', x3='1'
161: x1='2.558961032223719', x2='2.753034759209852', x3='0'
162: x1='2.2293379338284316', x2='0.5275708222411524', x3='2'
163: x1='2.129172641963109', x2='2.793782013499502', x3='6'
164: x1='1.8022395242425677', x2='4.420288707474423', x3='7'
165: x1='2.6400069323496957', x2='1.2562165097161504', x3='7'
166: x1='-4.491859343671916', x2='0.3023172276921784', x3='8'
167: x1='1.822795766907582', x2='2.204854175683039', x3='0'
168: x1='2.5373574696363663', x2='3.2841895659873206', x3='6'
169: x1='1.7836481689611663', x2='2.204854175683039', x3='0'
170: x1='1.7351286892762454', x2='-2.291314745059574', x3='5'
171: x1='2.6926174929236444', x2='4.763990456891001', x3='1'
172: x1='0.42379518427967255', x2='-3.7709573037350452', x3='6'
173: x1='1.7721455816661047', x2='3.865106118573255', x3='0'
174: x1='1.3552567856660636', x2='-4.126389451592031', x3='8'
175: x1='3.7797829291398273', x2='1.1034895930563042', x3='8'
176: x1='0.7253256737610183', x2='3.9246694811044307', x3='10'
177: x1='2.4702728368675135', x2='4.508966421021958', x3='2'
178: x1='-4.276585001361487', x2='-4.739897313537704', x3='6'
179: x1='-2.5428152119990735', x2='-4.991368513533004', x3='0'
180: x1='-2.083361102149599', x2='3.6950215575769434', x3='0'
181: x1='1.7681746512415009', x2='2.4054868829763105', x3='5'
182: x1='1.5599959939057149', x2='-2.8053225115282157', x3='9'
183: x1='2.9783603568740773', x2='1.1702826646438673', x3='0'
184: x1='3.202756461823327', x2='-0.6318232103266581', x3='4'
185: x1='-2.533255817628678', x2='2.2996660282105497', x3='8'
186: x1='1.0781885186779832', x2='-1.6950176021329764', x3='1'
187: x1='2.6993316830160676', x2='1.276348339180676', x3='0'
188: x1='4.01904621649393', x2='3.4324100327055778', x3='7'
189: x1='-2.5430812584624674', x2='-4.313788395258637', x3='9'
190: x1='-0.14182691304421713', x2='-0.03957856569071616', x3='1'
191: x1='1.7617905278530728', x2='2.8997876585661917', x3='1'
192: x1='4.673138995728227', x2='1.4634915487475464', x3='4'
193: x1='2.184706830651156', x2='0.7962919131033104', x3='0'
194: x1='-0.43169082292520145', x2='-2.054391390791419', x3='5'
195: x1='2.1181919138563954', x2='1.276348339180676', x3='0'
196: x1='2.388526807108466', x2='3.6141984635272664', x3='0'
197: x1='-2.534992925986932', x2='3.001848058107049', x3='10'
198: x1='3.7549681290614316', x2='-3.9892382494971956', x3='10'
199: x1='2.256558802947035', x2='-0.3569227287560226', x3='0'
200: x1='-1.282050834847397', x2='-2.9554518802673857', x3='8'
201: x1='-1.7518157320978398', x2='-2.622660926329207', x3='0'
202: x1='2.536767499821508', x2='-4.730417059876421', x3='6'
203: x1='-3.377614267203244', x2='2.744796794261644', x3='5'
204: x1='3.276662065480691', x2='-2.7249290369240855', x3='6'
205: x1='0.4137409000319101', x2='-3.6352979135575527', x3='7'
206: x1='0.26932730529473936', x2='-2.6796180814173374', x3='1'
207: x1='-3.660514104267103', x2='1.8173745925293128', x3='3'
208: x1='1.3610244124942206', x2='4.164622204220475', x3='10'
209: x1='-2.840985932316408', x2='2.4462491390227274', x3='8'
210: x1='0.9179885128830918', x2='4.473544606511794', x3='10'
211: x1='1.621261982700072', x2='-2.7732917876775707', x3='2'
212: x1='0.8740020754437428', x2='4.709449422883921', x3='10'
213: x1='0.7042047721317379', x2='-1.4300988549603808', x3='5'
214: x1='0.583749408811971', x2='3.67380376741567', x3='9'
215: x1='2.815053772148964', x2='1.064659400581144', x3='7'
216: x1='4.675997928806954', x2='1.054956426531807', x3='0'
217: x1='0.8823411391889397', x2='3.6353560273050505', x3='0'
218: x1='0.5468669002655426', x2='3.443906720653258', x3='4'
219: x1='3.5921081653501084', x2='-3.1108592968800686', x3='2'
220: x1='0.513236676980692', x2='4.63075680698363', x3='0'
221: x1='-3.8752371145193996', x2='0.7352640580285446', x3='4'
222: x1='0.5087140641815839', x2='2.0100342200522103', x3='7'
223: x1='-1.6161655473826797', x2='4.831731443968531', x3='7'
224: x1='0.48457596361032973', x2='0.9857507243974597', x3='3'
225: x1='0.3116915254454202', x2='0.6544901461338837', x3='7'
226: x1='0.46161693343646526', x2='1.2656871198293826', x3='5'
227: x1='-4.381366217460636', x2='2.322949876745211', x3='3'
228: x1='0.44184599425984317', x2='4.991209875264953', x3='3'
229: x1='1.1850941672340207', x2='0.4908484678238594', x3='7'
230: x1='2.519889031380652', x2='1.054956426531807', x3='0'
231: x1='2.2651608528242493', x2='-4.991874558438441', x3='4'
232: x1='4.157564829783718', x2='1.03772486954081', x3='8'
233: x1='-1.5270273392071712', x2='-1.1132895436157417', x3='5'
234: x1='2.387840920569225', x2='2.8657721425194316', x3='0'
235: x1='-4.045355547459179', x2='-2.3917336903165887', x3='10'
236: x1='4.157564829783718', x2='1.03772486954081', x3='10'
237: x1='0.18251417508835743', x2='-0.7654200661171009', x3='3'
238: x1='-0.07187889477170994', x2='4.523365151970898', x3='10'
239: x1='0.6596238926811315', x2='2.1101701937085204', x3='4'
240: x1='-0.3005960507021488', x2='4.874919251684647', x3='10'
241: x1='3.6524358293948307', x2='-0.9791409138585845', x3='7'
242: x1='-0.5335488701659772', x2='3.645867847351802', x3='10'
243: x1='-1.0362004327374574', x2='-4.190805296103145', x3='8'
244: x1='-0.6154389966208118', x2='1.1324394536722764', x3='10'
245: x1='-3.6053820775119636', x2='3.159094978237473', x3='5'
246: x1='-0.7633524359532862', x2='2.348596133480773', x3='10'
247: x1='3.7159025105530006', x2='2.696804480443138', x3='3'
248: x1='-0.8858126409315634', x2='3.3279490628534685', x3='10'
249: x1='-1.6137717098115356', x2='2.9709151257423834', x3='3'
250: x1='-0.9507734179627434', x2='1.2865393651020884', x3='10'
251: x1='-2.4390259210646494', x2='-0.5697561776001434', x3='2'
252: x1='-0.9833433542955063', x2='3.80100897705673', x3='10'
253: x1='-3.0797583591269895', x2='2.813244265257077', x3='0'
254: x1='-1.0185886313269643', x2='4.293708616774108', x3='10'
255: x1='-2.378543693832623', x2='-4.775935581923445', x3='5'
256: x1='-1.029253469412712', x2='0.9735804971097242', x3='10'
257: x1='-4.085499360086297', x2='2.676914219094866', x3='5'
258: x1='3.7633847131912006', x2='-1.8441998515694613', x3='9'
259: x1='-4.797223004570124', x2='-4.400685393076699', x3='0'
260: x1='-1.6459082887350176', x2='4.910607116968043', x3='10'
261: x1='1.7109072404279448', x2='-1.720622172701015', x3='5'
262: x1='2.6107347109062395', x2='-2.437738111922619', x3='10'
263: x1='0.7169937792028644', x2='-2.3705344183083255', x3='0'
264: x1='-1.685594612952488', x2='4.561905508711391', x3='10'
265: x1='4.923513083355628', x2='-2.226884647161885', x3='7'
266: x1='-1.6989870498036872', x2='2.8662103736724545', x3='10'
267: x1='-0.0944907769608836', x2='-1.0561650761024168', x3='7'
268: x1='-1.7070883054768347', x2='0.24194922410701647', x3='10'
269: x1='-1.3431682782777496', x2='-4.017871240763252', x3='9'
270: x1='-1.7117280166770255', x2='4.666534928174075', x3='10'
271: x1='-1.332459525665345', x2='3.706192703429215', x3='9'
272: x1='-1.7183621520231562', x2='3.528157086907644', x3='10'
273: x1='2.0261129489704572', x2='4.666932755657612', x3='1'
274: x1='-4.624262106410092', x2='4.961230089938354', x3='5'
275: x1='2.045008159805497', x2='4.38254333400327', x3='1'
276: x1='-1.7335499272110377', x2='2.9809199141170764', x3='10'
277: x1='-2.3208947533662947', x2='-1.1142162237281905', x3='5'
278: x1='-4.669053175459385', x2='2.5854433770618996', x3='5'
279: x1='-1.9090713443495244', x2='-2.3026132564301527', x3='10'
280: x1='2.000839258356267', x2='1.9234593993107252', x3='8'
281: x1='-3.0058467822084056', x2='4.055136547385276', x3='8'
282: x1='-4.690968735224379', x2='3.983425741509169', x3='2'
283: x1='0.024691797475871802', x2='1.4783057918244502', x3='0'
284: x1='1.901519261130943', x2='1.8644580711737309', x3='0'
285: x1='-1.5074966944815307', x2='2.2021562425371846', x3='6'
286: x1='-4.734639330765161', x2='4.637087437739748', x3='6'
287: x1='-3.3109190192217994', x2='3.160637414411852', x3='1'
288: x1='3.7159025105530006', x2='1.0011405210860076', x3='1'
289: x1='-2.8672982277625003', x2='4.321858037311793', x3='0'
290: x1='1.8648878957456407', x2='0.29263481342907305', x3='1'
291: x1='1.2750911356837094', x2='-1.9631110985865439', x3='1'
292: x1='-4.759664490924459', x2='1.0731445078153348', x3='0'
293: x1='0.10816730040613987', x2='-0.6436867305514529', x3='10'
294: x1='3.111166821061161', x2='-2.8345436238332065', x3='4'
295: x1='2.7477684436515357', x2='2.2303664300380923', x3='5'
296: x1='1.842738525845662', x2='-0.45246832460848374', x3='7'
297: x1='4.720748561314414', x2='-1.7933655274183415', x3='2'
298: x1='-4.776747923010785', x2='4.230854660302565', x3='3'
