1: x1='1.0', x2='-1.0', x3='1'
63: x1='1.7109072404279448', x2='-1.720622172701015', x3='5'
64: x1='2.6107347109062395', x2='-2.437738111922619', x3='10'
65: x1='0.7169937792028644', x2='-2.3705344183083255', x3='0'
66: x1='-1.685594612952488', x2='4.561905508711391', x3='10'
67: x1='4.923513083355628', x2='-2.226884647161885', x3='7'
68: x1='-1.6989870498036872', x2='2.8662103736724545', x3='10'
69: x1='-0.0944907769608836', x2='-1.0561650761024168', x3='7'
70: x1='-1.7070883054768347', x2='0.24194922410701647', x3='10'
71: x1='-1.3431682782777496', x2='-4.017871240763252', x3='9'
72: x1='-1.7117280166770255', x2='4.666534928174075', x3='10'
73: x1='-1.332459525665345', x2='3.706192703429215', x3='9'
74: x1='-1.7183621520231562', x2='3.528157086907644', x3='10'
75: x1='2.0261129489704572', x2='4.666932755657612', x3='1'
76: x1='-4.624262106410092', x2='4.961230089938354', x3='5'
77: x1='2.045008159805497', x2='4.38254333400327', x3='1'
78: x1='-1.7335499272110377', x2='2.9809199141170764', x3='10'
79: x1='-2.3208947533662947', x2='-1.1142162237281905', x3='5'
80: x1='-4.669053175459385', x2='2.5854433770618996', x3='5'
81: x1='-1.9090713443495244', x2='-2.3026132564301527', x3='10'
82: x1='2.000839258356267', x2='1.9234593993107252', x3='8'
83: x1='-3.0058467822084056', x2='4.055136547385276', x3='8'
84: x1='-4.690968735224379', x2='3.983425741509169', x3='2'
85: x1='0.024691797475871802', x2='1.4783057918244502', x3='0'
86: x1='1.901519261130943', x2='1.8644580711737309', x3='0'
87: x1='-1.5074966944815307', x2='2.2021562425371846', x3='6'
88: x1='-4.734639330765161', x2='4.637087437739748', x3='6'
89: x1='-3.3109190192217994', x2='3.160637414411852', x3='1'
90: x1='3.7159025105530006', x2='1.0011405210860076', x3='1'
91: x1='-2.8672982277625003', x2='4.321858037311793', x3='0'
92: x1='1.8648878957456407', x2='0.29263481342907305', x3='1'
93: x1='1.2750911356837094', x2='-1.9631110985865439', x3='1'
94: x1='-4.759664490924459', x2='1.0731445078153348', x3='0'
95: x1='0.10816730040613987', x2='-0.6436867305514529', x3='10'
96: x1='3.111166821061161', x2='-2.8345436238332065', x3='4'
97: x1='2.7477684436515357', x2='2.2303664300380923', x3='5'
98: x1='1.842738525845662', x2='-0.45246832460848374', x3='7'
99: x1='4.720748561314414', x2='-1.7933655274183415', x3='2'
100: x1='-4.776747923010785', x2='4.230854660302565', x3='3'
